question_text,option_a,option_b,option_c,option_d,correct_option
"A cybersecurity firm has deployed a comprehensive defense system, including Intrusion Detection Systems (IDS), firewalls, and honeypots, to protect its network from malicious activities. Despite these measures, the security team has noticed suspicious traffic patterns indicating potential attempts to evade detection and breach the network perimeter. The team is tasked with identifying advanced evasion techniques and strengthening the defense mechanisms to mitigate emerging threats effectively. Given the scenario described, which sophisticated evasion technique, resembling a scenario-based attack, poses the greatest challenge for the security team to detect and mitigate effectively, potentially compromising the integrity of the cybersecurity firm's network?",Polymorphic Malware Variants Generating Unique Payloads to Bypass Signature-Based Detection by IDS,Protocol-Level Evasion Techniques Fragmenting Packets to Evade Stateful Inspection by Firewalls,Honeypot Spoofing Attacks Mimicking Legitimate Network Services to Avoid Detection by Intrusion Detection Systems,Covert Channel Communication Exploiting Unused IP Header Fields to Conceal Malicious Traffic and Evade Detection by Security Devices,A
"While performing a vulnerability assessment for XYZ Corporation, you discover that several key systems are regularly interacting with unidentified external entities. These interactions often involve data transfers, both incoming and outgoing. While some of these might be legitimate, the nature and volume of this unmonitored traffic raise concerns about potential data exfiltration or malware introduction. Given the ambiguous nature of these interactions and the high stakes involved, which strategy would most directly identify and mitigate the vulnerabilities associated with these unsanctioned exchanges?","Implement an aggressive zero-trust model across the board, cutting off all external interactions until each can be individually vetted and validated.","Initiate a deep-dive forensic analysis on the systems involved, looking for signs of past breaches, malware, or unauthorized data manipulations.","Prioritize a behavioral analytics solution that profiles normal system behaviors and alerts on deviations, focusing on the interaction patterns of the identified systems.","Institute a company-wide training session on the dangers of unsolicited communications, hoping to curtail inadvertent employee engagements with external entities.",A
"As a newly appointed ethical hacker for XYZ Corporation, you have been assigned your first major task. The company has been facing persistent cyber threats and as a precautionary measure, you are tasked to conduct a thorough network vulnerability assessment. Your key objective is to efficiently map out all open ports and associated services in the organization's expansive network. Simultaneously, it's of paramount importance that your activities remain stealthy and do not trigger the advanced intrusion detection systems (IDS) employed by the organization. Given these requirements, which scanning technique would you opt for to achieve your task with maximum efficacy and discretion?",TCP Connect Scan,ACK Scan,FIN Scan,Stealth Scan (SYN Scan),A
"A major financial institution is experiencing persistent Denial-of-Service (DoS) attacks targeting its online banking services, causing significant disruption to customer transactions and eroding trust in the institution. The security team is under immense pressure to identify and mitigate the sophisticated tactics employed by the attackers to ensure uninterrupted access to banking services. Considering the scenario described, which sophisticated Denial-of-Service (DoS) technique, resembling a scenario-based attack, poses the greatest challenge for the security team to detect and mitigate effectively, potentially jeopardizing the availability of online banking services?","A distributed SQL injection attack targeting the institution's online banking database servers, causing resource exhaustion and database downtime.","A coordinated UDP flood attack exploiting vulnerabilities in the institution's DNS infrastructure, flooding authoritative DNS servers to disrupt domain resolution services.","A zero-day exploit targeting the institution's web server software, causing buffer overflow and service unavailability through remote code execution.","A synchronized Layer 3 Smurf attack targeting the institution's internet-facing routers, flooding their interfaces with ICMP echo requests to exhaust bandwidth and disrupt network connectivity.",A
"Working as an Information Security Analyst at a technology firm, you've been asked to design training material for employees about the potential dangers of session hijacking. As part of the training, you want to explain how attackers could use side jacking to compromise their accounts. Which of the following scenarios would most accurately describe a side jacking attack?","An attacker convinces an employee to visit a malicious site, which then injects a harmful script into their browser.","An attacker intercepts network traffic, captures unencrypted session cookies, and uses these to impersonate the user.",An attacker uses social engineering techniques to trick an employee into revealing their password.,An attacker exploits a vulnerability in the company's network firewall to gain unauthorized access to internal systems.,A
Your organization uses container technology for application development in a cloud environment. An intruder gained unauthorized access to a Docker container. What is the most probable attack vector?,Exploitation of weak container isolation,Injection of malicious code into serverless functions,Social engineering attack on the cloud service provider,Compromise of encrypted data at rest,A
A user was a victim of an email spoofing attack even though digital signatures were in place. Which potential vulnerability was most likely exploited by the attacker?,Weak keys in public key infrastructure,Weak symmetric encryption algorithms,Misconfiguration in email client software,Lack of disk encryption,A
"As a Certified Ethical Hacker, you have been approached by a leading international corporation to assess and enhance their cloud-based security framework. The corporation recently transitioned to a serverless computing architecture for its e-commerce application and experienced significant improvements in scalability and cost-efficiency. However, they fell victim to an intricate attack where an unauthorized user manipulated their cloud service's function-as-a-service (FaaS) component to execute malicious commands. Your investigation revealed that the attack originated from an insecure third-party API used within one of the serverless functions. Given the attack's complexity, what would be your recommended countermeasure for strengthening the security posture?",Deploying a cloud-native security platform (CNSP) that provides comprehensive protection across all cloud resources.,Implementing a function-level permission model and enforcing the principle of least privilege.,Using a cloud access security broker (CASB) to enforce security policies for third-party cloud services.,Regularly update the serverless functions to patch vulnerabilities and reduce the attack surface.,A
"As a seasoned Certified Ethical Hacker, you're currently tasked with conducting a comprehensive vulnerability assessment for a client's server infrastructure. During the initial stages of your assessment, your client presents you with an extensive server log that contains several recorded HTTP GET requests for your review. You notice a repeating pattern in these requests where the User-Agent field consistently displays the string ""() { :; }; /bin/bash -c 'ping -c 3 10.10.10.10'"". This particular string triggers suspicion of a potentially serious security vulnerability that could be exploited by malicious actors. Drawing upon your extensive knowledge and experience in cyber security, what specific vulnerability do you believe the server might be exposed to based on this pattern? Furthermore, considering the potential severity of this vulnerability, what would be your recommended method or technique to validate your suspicion, while ensuring that the process does not inadvertently expose the server to further risk?",The server may be exposed to a Cross-Site Scripting (XSS) vulnerability; perform a rigorous penetration testing regimen to confirm.,The server may be subject to a SQL Injection vulnerability; conduct a thorough dynamic analysis to validate your suspicion.,The server could be at risk of a Shellshock vulnerability; employ the use of a Network Vulnerability Scanner for an accurate validation.,The server might be compromised by a Heartbleed vulnerability; run an exhaustive OpenVAS check to validate your suspicion.,A
"You are a cybersecurity analyst at a tech startup that provides cloud-based services to its clients. Recently, your team detected suspicious activity on one of your critical servers. After further investigation, you discovered an unauthorized user gained escalated privileges and is attempting to perform malicious actions. Your task is to thwart the attack and secure the system from future exploits. Considering the potential consequences and complex nature of the situation, which of the following actions would you take first to immediately contain the threat without causing significant disruption to your services?","Power down the affected server immediately to stop all ongoing malicious activities, then isolate it from the network for further analysis.",Initiate a comprehensive vulnerability scan on all servers to detect any possible exploits that the attacker might use.,Engage with a digital forensics team to collect all necessary evidence for legal proceedings.,"Analyze and document the activities of the unauthorized user in real-time, then use this data to implement immediate countermeasures and isolate the affected server from the network.",A
"A critical infrastructure facility has an extensive network of IoT devices integrated with its OT systems. Following a recent surge in cyberattacks on similar facilities globally, the security team received an anonymous email detailing a possible attack on their systems. The attacker allegedly plans to compromise the IoT devices and use them as a gateway to the OT systems. What should be the immediate action of the security team to mitigate this threat?",Employ an intrusion prevention system (IPS) on the network to detect and block any malicious activities.,Initiate a full-scale penetration testing exercise on IoT devices to identify and patch vulnerabilities.,Deploy a machine-learning-based security solution to monitor and predict potential threats.,Establish a secure communication protocol between IoT and OT systems with proper encryption and authentication.,A
"You have recently been hired as an entry-level IT technician in a large corporation. In a meeting with the IT team, the terms ""ethical hacking"" and ""penetration testing"" are mentioned frequently. Later, a colleague explains to you that the main difference between the two is based on their goals. What is the primary goal of an ethical hacker in comparison to a penetration tester?","An ethical hacker is focused on exploiting system vulnerabilities, while a penetration tester aims to secure the system.","An ethical hacker aims to improve system security, while a penetration tester seeks to bring the system down.","An ethical hacker is primarily focused on securing the system, while a penetration tester tries to exploit the system's vulnerabilities.","An ethical hacker seeks to bring the system down, while a penetration tester is focused on improving system security.",A
"With XYZ Corporation's increasing adoption of IoT devices — from production sensors to smart office utilities — the vulnerability landscape has grown complex. The diverse origins, firmware, and protocols of these devices pose unique security challenges. In this sea of interconnected devices, you aim to pinpoint vulnerabilities often overlooked by standard IT procedures. Among the strategies proposed, which is best tailored to address the multifaceted vulnerabilities of IoT devices?",Partner closely with IoT manufacturers for dedicated device patches and exclusive vulnerability insights.,"Leverage an AI-driven security platform that adapts to IoT data, discerning irregularities and potential vulnerabilities through machine learning.","Segregate IoT devices into a dedicated network zone, ensuring a breach doesn't compromise the main infrastructure.","Mandate rigorous pre-deployment vulnerability checks for each IoT device, stalling integration until cleared by the security team.",A
"You are a security administrator for a medium-sized company. Your manager has asked you to conduct an audit of the organization's security infrastructure. While reviewing the logs from the Intrusion Detection System (IDS), you notice that there have been several instances of alerts being triggered by regular user activities. Which of the following is the most likely reason for this?","The IDS is configured with very high sensitivity settings, leading to many false positives.",The company's firewall is failing to filter out malicious traffic.,Regular users are unintentionally triggering security protocols.,The IDS is outdated and needs to be updated with the latest patches.,A
"A network security specialist at a medium-sized firm has been assigned to perform reconnaissance on a rival company to aid in market intelligence. He decides to leverage OSINT ( Open-Source Intelligence) tools to gain insights into the competitor's infrastructure without engaging in any invasive or unethical activities. Which of the following tools, given their functions, would be least helpful to the specialist in performing this task?","Maltego: Used to determine the relationships and real-world links between people, companies, websites, systems, internet infrastructure, and affiliations with online services.","Shodan: A search engine that allows users to see devices such as routers, servers, and webcams connected to the internet.",Wireshark: A network protocol analyzer that lets users capture and interactively browse the traffic running on a computer network.,"The Harvester: A tool for gathering e-mail accounts, subdomain names, virtual hosts, open ports/ banners, and employee names from different public sources.",A
"As a security expert for a prominent tech company, you've noticed an increasing number of attacks on your web services. You've concluded that the best course of action is to enhance your patch management strategies. Considering the information presented, which of the following strategies would be most effective in ensuring the secure and efficient management of patches and hotfixes?",Manual installation of patches and hotfixes on the live server directly from the vendors' websites.,Implementing an automatic patch management process and using a patch management tool to monitor the patched systems.,"Downloading and applying all patches and hotfixes, regardless of the source, to cover all possible vulnerabilities.",Only applying patches and hotfixes that are distributed outside the customer organization to avoid vendor-specific vulnerabilities.,A
"As a cybersecurity analyst for a leading multinational company, you have unearthed evidence suggesting a breach. Analysis indicates that sophisticated steganography techniques are in play, allowing the hacker to exfiltrate data by cleverly embedding it within image files. Confronted with the deceptive nature of steganography and its potential implications, which course of action offers the best chance to detect and counteract this clandestine threat?","Implement a robust firewall to intercept all outgoing network traffic from your servers, aiming to disrupt any data exfiltration attempts.",Roll out an Intrusion Prevention System (IPS) geared towards identifying and neutralizing further unauthorized server activities.,"Engage a specialized steganalysis tool to scrutinize questionable files, decode the obscured data, and reveal the hacker's exfiltration methodology.","Leverage a network traffic analyzer, keenly observing the nuances of outbound traffic for any irregularities suggestive of data exfiltration.",A
"As the cybersecurity lead for XYZ Corporation, your team recently discovered an intricate vulnerability in the firmware of a critical IoT device that's part of your company's vast IoT network. The device communicates with a cloud-based server and orchestrates essential network operations. Analysis reveals the vulnerability could facilitate a sophisticated CSRF attack if manipulated effectively. The attacker would need to craft a maliciously encoded image file that, when processed by the device, would trigger an unsolicited request to the cloud server, leading to a possible breach of the entire network. This scenario is further complicated by the IoT device's inability to support traditional CSRF prevention mechanisms, like anti-CSRF tokens, due to firmware limitations. Considering these specific circumstances, what immediate action should you prioritize to mitigate the risk?",Apply a firmware update across all IoT devices to introduce support for anti-CSRF tokens.,Implement a rule in the network firewall to block all traffic from the suspected attacker IPs.,Deploy a Web Application Firewall (WAF) configured to detect and block the specific image file encoding pattern used in the CSRF exploit.,Initiate a full network shutdown and disconnect the vulnerable IoT device until a more comprehensive solution is found.,A
A security analyst discovered that an attacker was able to decrypt HTTPS traffic from a corporate server. What could be a potential cause of this breach?,Man-in-the-Middle (MitM) attack on the HTTPS connection,Inadequate server disk encryption,Compromised email encryption,Exploitation of weak cipher suites in the HTTPS configuration,A
"During an ethical hacking exercise, a security analyst is testing a web application that manages confidential information. The analyst suspects the application may be susceptible to SQL injection attacks. Which of the following payloads will most likely reveal if the application is vulnerable to time-based blind SQL injection attacks?",' OR '1'='1'; --,"' AND BENCHMARK(5000000,ENCODE('test','test')); --","' UNION SELECT NULL, NULL, NULL; --","' AND 1=0 UNION ALL SELECT 'admin', 'admin'; –",A
A cybersecurity company wants to prevent attackers from gaining information about its encrypted traffic patterns. Which of the following encryption algorithms should they utilize?,DES,AES,RSA,HMAC,A
A company recently fell victim to a significant cloud security breach. The forensic analysis revealed that the attacker exploited a misconfigured cloud storage bucket. Which of the following attacks is this scenario describing?,Man-in-the-cloud attack,Shadow IT,Insecure APIs,Data breaches due to misconfigurations,A
"As a Certified Ethical Hacker, you have been contracted by a leading technology company to test the vulnerabilities in its web application. The application integrates various third-party services and employs multiple APIs. During your advanced testing, you discover a particularly robust Web API that is designed to work with several webhooks. Additionally, you find that the server has a web shell planted for legitimate administrative tasks. Your objective is to exploit vulnerabilities related to the Web API, webhooks, and web shell. What technique would best allow you to compromise the system effectively while leaving minimal traces?",Utilize SSRF (Server-Side Request Forgery) to make unauthorized API calls from the server itself.,Exploit the web shell by uploading malicious scripts disguised as routine administrative tasks.,Manipulate the webhook to trigger an unintended data transfer between the application and third-party services.,Execute Insecure Direct Object Reference (IDOR) on the Web API to access unauthorized resources.,A
"As the newly appointed head of IT security at a growing startup, you have been tasked with improving the company's security posture. Given the rise in social engineering attacks, you decide to set up training sessions for employees to help them identify these threats. During a session, you ask the team to identify the type of social engineering attack where an attacker impersonates a coworker or an authority figure to extract confidential information. Which option correctly identifies this type of attack?",Phishing,Pretexting,Baiting,Quid pro quo,A
"You work as a network security officer for a large corporation. Recently, you've noticed that certain confidential files are being accessed by unauthorized users within the network. You suspect that a Man-in-the-Middle (MitM) attack is being carried out. Which of the following network activities would help you confirm this?",A sudden increase in network traffic.,Multiple login attempts from the same IP address.,IP addresses being resolved to multiple MAC addresses.,Detection of abnormal amounts of DNS requests.,A
"While conducting a thorough reconnaissance operation on a potential threat actor's digital footprint, an ethical hacker working for a cybersecurity firm stumbled upon an interesting discovery. The threat actor appeared to have left a series of digital breadcrumbs across various internet forums and hidden web pages, pointing to a potential future attack strategy. The ethical hacker, wanting to gather as much information as possible about the actor's potential strategy without tipping them off, has to make careful tool and technique choices. Which of the following approaches should the ethical hacker most likely avoid to maintain a low profile and avoid alerting the threat actor?",Using the Tor browser to anonymously browse and investigate the hidden web pages without leaving a trace.,Employing WHOIS and DNS lookup tools to gain information about the ownership and IP addresses associated with the internet forums.,Directly interacting with the threat actor on the forums using a pseudonym to gain more information about their plans.,Utilizing internet archive services like the Wayback Machine to inspect any past versions of the threat actor's web pages for additional clues.,A
"As a cybersecurity professional in XYZ Corporation, you've been assigned to investigate an anomaly in the system logs that suggest possible unauthorized activities. The system administrators detected repeated failed login attempts on a critical server, followed by a sudden surge in outbound data traffic. These events, while discrete, are raising concerns that the system may have been compromised. Given the high stakes and sophisticated nature of this potential security breach, what should be your initial course of action to manage this situation effectively?",Immediately disconnect the suspicious server from the network to prevent further data exfiltration.,Conduct a thorough audit of all outbound traffic and scrutinize the destination IPs to gain insights into the attacker's network.,Immediately alter the credentials of the server and notify all users to change their passwords.,"Conduct real-time monitoring of the server, scrutinize the logs for unusual patterns, and identify the nature of the activities to devise an immediate countermeasure.",A
"You are a Certified Ethical Hacker and have been hired by a financial institution to assess the security of its newly developed web application. The application employs a multifaceted authentication system with JavaScript-based client-side controls. During your testing, you discover that client-side controls enforce password strength and ensure CAPTCHA validation. The application also uses a proprietary encryption algorithm for client-side data. Your goal is to bypass these client-side controls to assess how robust they really are. What method would be the most effective for bypassing these controls without triggering server-side alarms?",Disable JavaScript in the browser and proceed to submit weaker passwords and invalid CAPTCHAs.,Utilize a proxy tool to intercept and modify the client-side controls before they reach the server.,Inject malicious JavaScript code into the login form to overwrite the client-side validation rules.,Reverse-engineer the proprietary encryption algorithm and manipulate the encrypted data before submission.,A
"Upon analyzing anomalies in your network's traffic, you discover traces of an insidious malware strain named ""ShadowFlee."" This malware operates without writing files to disk, harnessing system utilities and scripts like PowerShell to stealthily execute tasks, effectively evading traditional detection mechanisms. Further, it exploits legitimate processes to propagate internally. Given ""ShadowFlee's"" elusive attributes, which strategy would offer the most focused countermeasure?",Regularly clean up temporary folders and enforce stricter permissions on system directories.,"Restrict and monitor the execution of scripts and system tools, especially those invoked by unsanctioned processes.",Schedule frequent system reboots to clear memory and apply patches to all networked devices.,"Isolate affected systems, deploy deep packet inspection on network traffic, and block communications to blacklisted IPs.",A
"As a cybersecurity professional conducting a network vulnerability assessment for your organization, you discover a potentially critical vulnerability. This vulnerability arises from an outdated software component installed on a critical production server used by the financial department. The software vendor has acknowledged this vulnerability and promptly released a patch to fix it. However, the application of the patch has been deferred due to the department's operational needs, as they cannot tolerate downtime during business hours, which would significantly impact their productivity. The situation poses a significant risk due to the potential for exploitation until the patch is applied. With these constraints in mind, as a Certified Ethical Hacker, what immediate action could you undertake to reduce the risk associated with this vulnerability without disrupting department operations?",Insist that the financial department cease all operations and use of the server until the patch has been applied.,Initiate a full-scale penetration test on the vulnerable server to evaluate the true potential impact of the vulnerability.,"Implement a strategy of Virtual Patching, providing a protective layer around the vulnerability until the actual patch can be applied.",Continually monitor network traffic to and from the server to detect any attempts at exploiting the identified vulnerability.,A
An organization uses SHA-256 for data integrity checks but is still experiencing unauthorized data modification. Which cryptographic tool can help resolve this issue?,Digital signatures,Symmetric encryption,Asymmetric encryption,SSL/TLS certificates,A
"While preparing for a planned security audit at a high-profile technology firm, your team aims to gather as much information as possible about the target organization without directly interacting with their network or systems. As part of this passive information-gathering process, you decide to utilize a search engine that archives cached websites and other web documents to access historical information about the company. Which of the following search engines would be most appropriate for your requirement?","Google: Google is a widely used search engine, but it does not archive web pages, limiting its usefulness for this specific task.","Bing: Bing, like Google, is primarily a search engine for current web content and does not archive web pages in a way that would be useful for this task.","Yahoo: Yahoo is also a traditional search engine and, while it offers a variety of services, it does not archive web pages.","Wayback Machine: The Wayback Machine is a digital archive of the World Wide Web and other information on the Internet, providing cached web pages, making it suitable for this requirement.",A
"A leading online retailer has been experiencing a series of security incidents involving unauthorized access to customer accounts and fraudulent transactions. Upon investigation, it is suspected that attackers are employing sophisticated session-hijacking techniques to compromise user sessions and carry out illicit activities. The security team is tasked with implementing robust measures to prevent further breaches and protect customer trust. Given the scenario described, which advanced session hijacking technique, resembling a scenario-based attack, poses the greatest challenge for the security team to detect and mitigate effectively, potentially compromising the security of online transactions on the retailer's website?",Cross-Site Request Forgery (CSRF) Attack Manipulating User Requests to Initiate Unauthorized Transactions,Session Replay Attack Capturing and Replaying Encrypted Session Tokens to Gain Unauthorized Access,Credential Stuffing Attack Using Stolen Credentials to Hijack Active User Sessions and Perform Fraudulent Activities,Clickjacking Attack Embedding Malicious Iframes to Trick Users into Performing Unintended Actions on the Retailer's Website,A
"As a cybersecurity analyst at a renowned software corporation, you've noticed some peculiar activity. The company's internal network has seen a sudden increase in redundant network traffic and system crashes. Initial scans have found that most affected systems run a particular version of the operating system, and the identified malicious code seems to be self-replicating and spreading across the network autonomously. Considering the following malware types, which would you identify as the probable cause of this anomalous behavior? Furthermore, how would you prioritize your response to counteract this malware threat and alleviate the system disruptions?","Trojan: Initiate a thorough network scan with updated anti-malware tools, isolate the affected systems, and patch all the systems with the latest updates.","Rootkit: Recommend a system reboot in safe mode, followed by the deployment of an advanced rootkit scanner and subsequent patching of the systems.","Worm: Quarantine the affected systems, perform an immediate network-wide sweep with the latest antivirus definitions, and update the operating system on all network systems.","Ransomware: Advise users to disconnect their systems from the network, back up vital data, and utilize a reputable decryption tool to regain access.",A
"As a cybersecurity professional in a growing organization, you are tasked with conducting comprehensive reconnaissance of your own company's digital presence. In addition to using tools like WHOIS, DNS analysis, and search engines, you are also considering investigating the Deep Web. Which of the following justifications best supports your idea to explore the Deep Web for potential risks related to your organization's information?",The Deep Web contains a lot of user-generated content which could reveal insider threats.,"Search engines don't index the Deep Web, and there could be non-indexed company information lying there.",The Deep Web is a hub for hackers and can help you understand the latest hacking techniques.,Exploring the Deep Web can help you identify the physical location of potential attackers.,A
"A globally-operating bank recently encountered a severe security breach within its Android OSbased mobile banking application. Cybercriminals managed to exploit the bank's Mobile Device Management (MDM) system and successfully carried out a series of remote commands, creating significant havoc. Upon thorough investigation of this incident, it emerged that the attackers might have leveraged the Android Debug Bridge (ADB) as a conduit for unauthorized access. As a Certified Ethical Hacker tasked with developing countermeasures to this issue, which action would you consider the most potent response in this situation?","Promoting the adoption of more robust personal identification methodologies, including, but not limited to, biometric systems.","Establishing and enforcing a rigorous policy that unequivocally mandates the disabling of ADB, except when absolutely necessary and only within strictly regulated environments.",Instigating the configuration of a Virtual Private Network (VPN) to secure all transactions and activities conducted via the mobile banking platform.,Recommending frequent and consistent updates to the MDM system to stay abreast of the most recent security patches and improvements.,A
"During an investigation, an ethical hacker discovered that a web application's API has been compromised, leading to unauthorized access and data manipulation. They identified webhooks and a webshell being used by the attacker. To prevent further exploits, which of the following actions should be taken?",Perform regular code reviews for the webhooks and modify the API to block connections from unknown IP addresses.,Implement a Web Application Firewall (WAF) with rules to block webshell traffic and increase the logging verbosity of webhooks.,"Implement input validation on all API endpoints, review webhook payloads, and schedule regular scanning for webshells.","Harden the web server security, add multi-factor authentication for API users, and restrict the execution of scripts server-side.",A
"You are a cybersecurity trainer and are planning a course on ethical hacking for some newcomers in your organization. While creating the content, you recall from the CEH v12 study material that there are different types of penetration tests. Which of the following best describes a black box penetration test?",The tester has no prior knowledge of the system to be tested.,The tester has complete knowledge of the system to be tested.,"The tester has some knowledge of the system to be tested, such as user IDs and passwords.",The tester is given a copy of the system to test so that the actual system remains unaffected.,A
A company is leveraging serverless computing for its cloud-based application. The security team is concerned about the risk of attacks. What security measure should they prioritize?,Hardening host operating system security,Protecting serverless functions from event data injection attacks,Enhancing the physical security of servers,Implementing IDS/IPS at the network perimeter,A
"In your role as a cybersecurity specialist for a growing tech company, you are tasked with performing a regular network scan to check for any potential vulnerabilities. Your manager has specifically asked you to use a NULL scan for this round. In the context of TCP NULL scanning, what response (or lack thereof) would indicate that a particular port on a target machine is closed?",The target machine responds with a TCP RST packet.,The target machine responds with a TCP SYN/ACK packet.,The target machine does not send any response.,The target machine responds with an ICMP error message.,A
