question_text,option_a,option_b,option_c,option_d,correct_option
"As an IT professional, you are attending a webinar on cybersecurity...",They are highly skilled hackers who write their scripts to breach security systems.,They are novices in the hacking world who mainly use scripts and codes developed by others.,They are ethical hackers who use scripts to conduct penetration testing...,They are hackers who specialize in scripting languages to launch sophisticated cyberattacks.,B
"In a highly secure online banking environment, customers have reported unauthorized access to their accounts...",Covert Cross-Site Scripting (XSS) Attack Injecting Malicious Code...,Session Fixation Attack Manipulating Session Identifiers in HTTP Cookies,Man-in-the-Browser (MitB) Attack Installing Malicious Browser Extensions to Intercept User Sessions,Passive Sniffing Attack Capturing Encrypted Session Tokens on Unsecured Wi-Fi Networks,C
Your organization uses container technology for application development in a cloud environment...,Exploitation of weak container isolation,Injection of malicious code into serverless functions,Social engineering attack on the cloud service provider,Compromise of encrypted data at rest,A
A large-scale pharmaceutical manufacturing company uses an industrial control system (ICS)...,Apply patches on all IoT devices to prevent exploitation of known vulnerabilities.,Increase the frequency of log monitoring to detect any anomalous activities.,Enforce strict network segmentation to isolate the ICS and IoT devices from the corporate network.,Conduct a threat modeling exercise specifically for IoT devices...,C
You are an ethical hacker conducting a security assessment for a large financial corporation...,Cracking the WPA3 encryption by using rainbow table attacks.,Attempting a brute force attack to uncover weak employee passwords.,Checking the security of the corporation's visitor wireless network.,Executing a KRACK attack to compromise WPA2 and WPA3 protocols.,C
A user was a victim of an email spoofing attack even though digital signatures were in place...,Weak keys in public key infrastructure,Weak symmetric encryption algorithms,Misconfiguration in email client software,Lack of disk encryption,C
A cybersecurity team at a multinational company notices unusual network traffic on their Bluetooth devices...,"Disable ""Discoverable Mode"" and activate ""Non-discoverable Mode"" on all Bluetooth devices.",Implement network-level encryption on all data transmission over Bluetooth.,Increase the complexity and length of the PIN codes on Bluetooth devices.,Regularly update Bluetooth devices to the latest firmware versions.,A
"As a Certified Ethical Hacker, you have been approached by a leading international corporation...",Deploying a cloud-native security platform (CNSP)...,Implementing a function-level permission model and enforcing the principle of least privilege.,Using a cloud access security broker (CASB)...,Regularly update the serverless functions to patch vulnerabilities...,B
"As a seasoned Certified Ethical Hacker, you're currently tasked with conducting a comprehensive vulnerability assessment...",The server may be exposed to a Cross-Site Scripting (XSS) vulnerability...,The server may be subject to a SQL Injection vulnerability...,The server could be at risk of a Shellshock vulnerability; employ the use of a Network Vulnerability Scanner for an accurate validation.,The server might be compromised by a Heartbleed vulnerability...,C
You're a security analyst conducting a foot printing exercise for a new client...,Google Hacking can help discover hidden organizational data from the Deep Web.,Google Hacking can help identify weaknesses in the client's website code.,Google Hacking can assist in mapping out the client's internal network structure.,Google Hacking can help locate potential phishing sites that mimic the client's website.,B
"During a meticulous vulnerability assessment for ABC Corporation, you identify irregular patterns of network behavior...",Implement a geo-blocking solution to prevent traffic from suspicious overseas IP ranges.,Adjust server configurations to reduce the timeout for HTTP connections.,Enforce strict rate limiting on incoming requests per IP address.,Migrate the entire application to a cloud-based solution...,B
"A cyber intelligence analyst, working for a renowned cybersecurity firm, is trying to gather information...",Using WHOIS databases to find out information about domain registration.,Observing patterns in the target's social media posts to infer about their activities.,Conducting a port scan on the target's public IP addresses.,Collecting information from job postings about the technology the company uses.,C
You are a cybersecurity analyst at a tech startup that provides cloud-based services...,Power down the affected server immediately to stop all ongoing malicious activities...,Initiate a comprehensive vulnerability scan on all servers...,Engage with a digital forensics team to collect all necessary evidence...,"Analyze and document the activities of the unauthorized user in real-time, then use this data to implement immediate countermeasures and isolate the affected server from the network.",D
A critical infrastructure facility has an extensive network of IoT devices integrated with its OT systems...,Employ an intrusion prevention system (IPS) on the network...,Initiate a full-scale penetration testing exercise on IoT devices...,Deploy a machine-learning-based security solution...,Establish a secure communication protocol between IoT and OT systems with proper encryption and authentication.,D
You have recently been hired as an entry-level IT technician in a large corporation...,"An ethical hacker is focused on exploiting system vulnerabilities, while a penetration tester aims to secure the system.","An ethical hacker aims to improve system security, while a penetration tester seeks to bring the system down.","An ethical hacker is primarily focused on securing the system, while a penetration tester tries to exploit the system's vulnerabilities.","An ethical hacker seeks to bring the system down, while a penetration tester is focused on improving system security.",C
"In her role as a cybersecurity analyst for an established technology firm, Maria is assigned a crucial task...","Exploring online forums, bulletin boards, and social media discussions...",Leveraging the Wayback Machine to delve into the past and view archived versions...,Running an intensive port scan against the competitor's public IP addresses...,Meticulously examining patent databases and public records...,C
With XYZ Corporation's increasing adoption of IoT devices — from production sensors to smart office utilities...,Partner closely with IoT manufacturers for dedicated device patches...,"Leverage an AI-driven security platform that adapts to IoT data, discerning irregularities and potential vulnerabilities through machine learning.",Segregate IoT devices into a dedicated network zone...,Mandate rigorous pre-deployment vulnerability checks for each IoT device...,B
You are a security administrator for a medium-sized company...,"The IDS is configured with very high sensitivity settings, leading to many false positives.",The company's firewall is failing to filter out malicious traffic.,Regular users are unintentionally triggering security protocols.,The IDS is outdated and needs to be updated with the latest patches.,A
You are an IT intern at a local business and your supervisor has asked you to assist with the company's website maintenance...,Hackers use SQL injection to manipulate the website's database and gather sensitive information.,Hackers create a fake website and trick users into providing their login credentials.,Hackers send a large volume of emails to the server to overwhelm its capacity.,Hackers use a virus to physically damage the server's hardware components.,A
A network security specialist at a medium-sized firm has been assigned to perform reconnaissance on a rival company...,Maltego: Used to determine the relationships and real-world links...,Shodan: A search engine that allows users to see devices...,Wireshark: A network protocol analyzer that lets users capture and interactively browse the traffic running on a computer network.,"The Harvester: A tool for gathering e-mail accounts, subdomain names...",C
"In a comprehensive penetration testing scenario, you are charged with the task of gaining detailed insights...",The IP addresses associated with the organization's multiple mail servers.,The specific usernames and passwords used by the organization's employees.,The subdomains that are linked with the organization's primary internet domain.,The estimated geographical location of the organization's servers derived from their IP addresses.,B
"As a security analyst, you are testing your company's network for potential vulnerabilities...",The presence of multiple IP addresses assigned to a single MAC address.,An increased number of ARP requests in the network traffic.,Numerous MAC addresses that correspond to a single switch port.,The existence of multiple MAC addresses assigned to a single IP address.,C
"As a junior network analyst for a medium-sized enterprise, you've been asked to monitor the organization's network traffic...",The target hosts are using dynamic IP addresses.,The non-responsive hosts are located in a different subnet.,The firewall of the target hosts is configured to block ARP requests.,The non-responsive hosts are currently in sleep or hibernation mode.,B
"As a security expert for a prominent tech company, you've noticed an increasing number of attacks on your web services...",Manual installation of patches and hotfixes on the live server directly from the vendors' websites.,Implementing an automatic patch management process and using a patch management tool to monitor the patched systems.,"Downloading and applying all patches and hotfixes, regardless of the source...",Only applying patches and hotfixes that are distributed outside the customer organization...,B
The IoT department of a major shipping corporation has been battling a sophisticated side-channel attack...,Implement a multi-tier security approach...,Introduce a more robust encryption algorithm for communication systems.,Enhance the physical shielding of the communication systems to deter electromagnetic eavesdropping.,Ensure the redundancy of communication systems...,C
"As a cybersecurity analyst working for a multinational corporation, you are tasked with routine vulnerability scans...",Consider the possibility of a firewall blocking the FIN packets and investigate further.,Immediately escalate this issue to management...,Conclude that these ports are closed since they did not respond to the FIN packets.,Interpret this as a sign of network congestion...,A
You are a new member of your company's IT team... What is the correct order of these phases?,"Reconnaissance, Scanning, Gaining Access, Maintaining Access, Covering Tracks","Gaining Access, Maintaining Access, Covering Tracks, Reconnaissance, Scanning","Maintaining Access, Covering Tracks, Reconnaissance, Scanning, Gaining Access","Scanning, Reconnaissance, Gaining Access, Covering Tracks, Maintaining Access",A
"As a cybersecurity analyst for a leading multinational company, you have unearthed evidence suggesting a breach...",Implement a robust firewall to intercept all outgoing network traffic...,Roll out an Intrusion Prevention System (IPS)...,"Engage a specialized steganalysis tool to scrutinize questionable files, decode the obscured data, and reveal the hacker's exfiltration methodology.",Leverage a network traffic analyzer...,C
As an IT technician in a small software development company... Which of the following is a common technique used by attackers to evade firewall detection?,Implementing an open-source operating system...,Using encrypted communication channels to evade network monitoring tools.,Utilizing social engineering techniques...,Changing the source IP address of packets...,B
"As the cybersecurity lead for XYZ Corporation, your team recently discovered an intricate vulnerability in the firmware of a critical IoT device...",Apply a firmware update across all IoT devices...,Implement a rule in the network firewall...,Deploy a Web Application Firewall (WAF) configured to detect and block the specific image file encoding pattern used in the CSRF exploit.,Initiate a full network shutdown...,C
"As a cybersecurity consultant, you are assisting a small start-up... What kind of social engineering attack is most likely at play here?",The email is a demonstration of a baiting attack where the attacker uses a job application as bait to encourage the HR manager to open the malicious document.,The email illustrates a piggybacking attack...,The email is an example of a tailgating attack...,The email indicates a dumpster diving attack...,A
A security analyst discovered that an attacker was able to decrypt HTTPS traffic from a corporate server...,Man-in-the-Middle (MitM) attack on the HTTPS connection,Inadequate server disk encryption,Compromised email encryption,Exploitation of weak cipher suites in the HTTPS configuration,D
"During an ethical hacking exercise, a security analyst is testing a web application... Which payload will reveal time-based blind SQL injection?",OR '1'='1'; --,"AND BENCHMARK(5000000,ENCODE('test','test')); --","UNION SELECT NULL, NULL, NULL; --","AND 1=0 UNION ALL SELECT 'admin', 'admin'; –",B
"In a recent penetration testing assignment, you were able to breach a server's web service and install a backdoor...",Increasing the size of the backdoor's code to avoid signature-based detection.,Embedding the backdoor in a regularly updated web file.,Placing the backdoor in a file type that is typically excluded from resource maps.,Install the backdoor on a non-web file referenced in a URL.,B
A cybersecurity company wants to prevent attackers from gaining information about its encrypted traffic patterns...,DES,AES,RSA,HMAC,B
A multinational company is planning to integrate an IoT-based environmental control system... What is the most plausible attack vector?,The APT group will exploit zero-day vulnerabilities present in the IoT device firmware.,The APT group will perform an encryption-based Man-in-the-Middle attack...,The APT group will infiltrate the network using compromised user credentials.,The APT group will execute a DDoS attack...,A
A company recently fell victim to a significant cloud security breach... misconfigured cloud storage bucket...,Man-in-the-cloud attack,Shadow IT,Insecure APIs,Data breaches due to misconfigurations,D
As an ethical hacker hired by a leading financial institution... HTTP instead of HTTPS... main concern regarding session hijacking?,The network latency might increase...,"The HTTP traffic including session cookies are sent in clear text over the network, making them susceptible to interception.",The data storage servers might be directly targeted...,The ISP might be complicit in the session hijacking attempt...,B
You've been hired as a Certified Ethical Hacker (CEH)... failed login attempts using expired tokens within a 3-minute window...,The attacker captured a valid token before its expiry and used it to gain access.,The attacker brute-forced the token generation algorithm...,The attacker utilized a token replay attack...,"The attacker took advantage of a race condition, where the system validates expired tokens.",D
In a large manufacturing corporation... EKANS/SNAKE ransomware... most appropriate action?,Quarantine the infected devices and deploy an AI-based intrusion detection system...,Shut down the entire OT network...,Deploy a firmware update across all IoT devices...,"Implement a network segmentation solution, isolating the infected areas from the rest of the network.",D
Your role as a cybersecurity analyst at XYZ Corporation requires you to perform passive reconnaissance... least likely to assist?,Inspecting the WHOIS database for domain registration details.,Utilizing search engines and associated services...,Using a tool like Nmap to scan the company's public IP range.,Monitoring public posts and profiles on social media platforms...,C
"As a Certified Ethical Hacker, you have been contracted by a leading technology company... Web API, webhooks, and web shell... minimal traces?",Utilize SSRF (Server-Side Request Forgery) to make unauthorized API calls from the server itself.,Exploit the web shell by uploading malicious scripts...,Manipulate the webhook to trigger an unintended data transfer...,Execute Insecure Direct Object Reference (IDOR)...,A
As the newly appointed head of IT security at a growing startup... impersonates a coworker or an authority figure...,Phishing,Pretexting,Baiting,Quid pro quo,B
You work as a network security officer... Man-in-the-Middle (MitM) attack... confirm this?,A sudden increase in network traffic.,Multiple login attempts from the same IP address.,IP addresses being resolved to multiple MAC addresses.,Detection of abnormal amounts of DNS requests.,C
As a newly appointed cybersecurity analyst in a financial firm... SYN scan... receive a SYN/ACK packet...,The scanned port on the target IP address is closed...,"The scanned port on the target IP address is open, as the receipt of a SYN/ACK packet indicates that the port is prepared to establish a connection.",The scanned port on the target IP address is filtered...,The target IP address is not reachable...,B
While conducting a thorough reconnaissance operation... avoid alerting the threat actor?,Using the Tor browser to anonymously browse...,Employing WHOIS and DNS lookup tools...,Directly interacting with the threat actor on the forums using a pseudonym to gain more information about their plans.,Utilizing internet archive services like the Wayback Machine...,C
As a newly appointed network security analyst... packet fragmentation... IDS configuration?,Implementing an anomaly-based IDS that can recognize the irregular traffic patterns caused by packet fragmentation.,Configuring the IDS to reject all fragmented packets...,Adjusting the IDS to recognize regular intervals...,Employing a signature-based IDS...,A
As a cybersecurity professional in XYZ Corporation... repeated failed login attempts... initial course of action?,Immediately disconnect the suspicious server from the network...,Conduct a thorough audit of all outbound traffic...,Immediately alter the credentials of the server...,"Conduct real-time monitoring of the server, scrutinize the logs for unusual patterns, and identify the nature of the activities to devise an immediate countermeasure.",D
You are a Certified Ethical Hacker... bypass client-side controls without triggering server-side alarms?,Disable JavaScript in the browser...,Utilize a proxy tool to intercept and modify the client-side controls before they reach the server.,Inject malicious JavaScript code into the login form...,Reverse-engineer the proprietary encryption algorithm...,B
A Certified Ethical Hacker (CEH) is auditing a company's web server... increase the security of the web server?,Implementing an open-source web server architecture such as LAMP,Moving the document root directory to a different disk,Changing the server's IP address regularly,Regularly updating and patching the server software,D
"Upon analyzing anomalies in your network's traffic... ""ShadowFlee"" fileless malware... focused countermeasure?",Regularly clean up temporary folders...,"Restrict and monitor the execution of scripts and system tools, especially those invoked by unsanctioned processes.",Schedule frequent system reboots...,"Isolate affected systems, deploy deep packet inspection...",B
As a cybersecurity professional... unpatched server... reduce risk without disrupting operations?,Insist that the financial department cease all operations...,Initiate a full-scale penetration test...,"Implement a strategy of Virtual Patching, providing a protective layer around the vulnerability until the actual patch can be applied.",Continually monitor network traffic...,C
At DEF Corporation... variable encryption strength based on user roles / session token lengths...,Rotate encryption keys frequently...,"Implement uniform encryption strength across all user roles, eliminating disparities in session token lengths.",Adopt Multi-Factor Authentication (MFA)...,Integrate a centralized logging mechanism...,B
An organization uses SHA-256 for data integrity checks but is still experiencing unauthorized data modification...,Digital signatures,Symmetric encryption,Asymmetric encryption,SSL/TLS certificates,A
While preparing for a planned security audit... archives cached websites and historical web documents?,Google,Bing,Yahoo,Wayback Machine: The Wayback Machine is a digital archive of the World Wide Web and other information on the Internet...,D
The web application security team of a global firm detected a sophisticated Injection attack... most effective root countermeasure?,Deploy a Web Application Firewall (WAF) with built-in evasion detection features.,Enforce Two-Factor Authentication (2FA)...,Implement continuous security code review and penetration testing.,Configure Security Information and Event Management (SIEM)...,C
A leading online retailer has been experiencing a series of security incidents... session hijacking attack replay?,Cross-Site Request Forgery (CSRF) Attack...,Session Replay Attack Capturing and Replaying Encrypted Session Tokens to Gain Unauthorized Access,Credential Stuffing Attack...,Clickjacking Attack...,B
You've recently been hired as a cybersecurity intern... definition of a script kiddie?,A hacker who writes their own complex scripts...,A hacker who uses pre-existing scripts and tools to carry out attacks without fully understanding how they work.,A hacker who only targets systems that use JavaScript...,A young hacker who is still learning the basics...,B
As a cybersecurity analyst at a renowned software corporation... self-replicating and spreading across network autonomously...,Trojan...,Rootkit...,"Worm: Quarantine the affected systems, perform an immediate network-wide sweep with the latest antivirus definitions, and update the operating system on all network systems.",Ransomware...,C
As a cybersecurity professional... justification to explore the Deep Web?,The Deep Web contains a lot of user-generated content...,"Search engines don't index the Deep Web, and there could be non-indexed company information lying there.",The Deep Web is a hub for hackers...,Exploring the Deep Web can help you identify physical locations...,B
A globally-operating bank... Android Debug Bridge (ADB) exploit... most potent response?,Promoting the adoption of more robust personal identification methodologies...,"Establishing and enforcing a rigorous policy that unequivocally mandates the disabling of ADB, except when absolutely necessary...",Instigating the configuration of a Virtual Private Network (VPN)...,Recommending frequent and consistent updates to the MDM system...,B
"During an investigation, an ethical hacker discovered API compromised, webhooks and webshell used...",Perform regular code reviews for the webhooks...,Implement a Web Application Firewall (WAF)...,"Implement input validation on all API endpoints, review webhook payloads, and schedule regular scanning for webshells.",Harden the web server security...,C
You are a cybersecurity trainer... definition of a black box penetration test?,The tester has no prior knowledge of the system to be tested.,The tester has complete knowledge of the system to be tested.,The tester has some knowledge of the system to be tested...,The tester is given a copy of the system to test...,A
In a large financial institution... social engineering pretexting audit attack...,Spear Phishing Campaigns Leveraging Spoofed Internal Email Addresses,Vishing Attacks Exploiting Interactive Voice Response (IVR) Systems,Pretexting Scenarios Involving Falsified Regulatory Compliance Audits,Physical Tailgating Incidents for Unauthorized Access to Secure Areas,C
A company is leveraging serverless computing for its cloud-based application... priority security measure?,Hardening host operating system security,Protecting serverless functions from event data injection attacks,Enhancing the physical security of servers,Implementing IDS/IPS at the network perimeter,B
As the lead security engineer in a tech startup... web service attacks protection + identification?,Deploying an intrusion detection system at the perimeter...,Implementing a web application firewall with customizable rules.,Installing security plugins for the web service software.,Regularly updating the server's security patches...,B
As a cybersecurity consultant... LDAP information not retrievable...,The company network is currently experiencing heavy traffic...,The LDAP service is running on a non-standard port.,The LDAP directory data is protected by Access Control Lists (ACLs).,The hosts are located in a different subnet.,C
A multinational banking corporation... advanced CSRF mitigation?,Establishing a comprehensive Input Validation mechanism...,Implementing a Content Security Policy (CSP)...,Employing SameSite Cookie Attribute along with Anti-CSRF tokens.,Installing a state-of-the-art Intrusion Detection System (IDS)...,C
In your role as a cybersecurity specialist... TCP NULL scan closed port response?,The target machine responds with a TCP RST packet.,The target machine responds with a TCP SYN/ACK packet.,The target machine does not send any response.,The target machine responds with an ICMP error message.,A
You are a Certified Ethical Hacker... application not enforcing restrictions on authenticated users...,Cryptographic Failures,Broken Access Control,Injection,Security Misconfiguration,B
You are a cybersecurity consultant at a large healthcare organization... IDS evasion technique?,The attacker splits malicious data packets into smaller segments to avoid detection.,The attacker repeatedly pings the IDS...,The attacker sends phishing emails...,The attacker uses advanced malware...,A
During a red team exercise... session hijacking next step to minimize detection?,Directly apply brute force attack...,Perform vulnerability scanning with automated tools...,Hijack a session and immediately modify server configuration files.,Attempt SQL Injection...,C
As a senior cybersecurity professional... dormant malware changing code each infection...,Rootkit...,Polymorphic Malware: Employ advanced threat detection tools that use behavior-based detection techniques and ensure all systems are patched.,Worm...,Adware...,B
A multinational corporation... session sidejacking public Wi-Fi?,Brute-Force Session Guessing...,Cookie Poisoning Attack...,ARP Spoofing Attack...,Session Sidejacking Intercepting Unencrypted Session Tokens over Public Wi-Fi Networks,D
You are a Certified Ethical Hacker... Bluetooth Secure Simple Pairing (SSP) brute-force countermeasure?,Impose rate-limiting to slow down the brute-force attack.,Implement device whitelisting...,Strengthen SSP by increasing the encryption key length for the Diffie-Hellman exchange.,Use Bluetooth Low Energy (BLE)...,C
As a certified ethical hacker... exploit Android permission flaw avoiding AV detection?,Use an SMS phishing method...,Develop a custom exploit code that uses obfuscation techniques to avoid detection.,Deploy a payload using well-known exploit frameworks like Metasploit.,Use a rootkit...,B
As an Ethical Hacker... backend database unknown SQL injection technique?,Time-Based Blind SQL Injection,Union-Based SQL Injection,Error-Based SQL Injection,Content-Based Blind SQL Injection,A
You are a security analyst for a medium-sized e-commerce company... mitigate session hijacking risk across network layer?,Implement a security awareness program...,"Apply an IPsec VPN solution that encrypts the entire IP packet, thereby making session hijacking attempts more difficult.",Deploy a network-based intrusion prevention system (IPS)...,Implement a new physical security policy...,B
You are a Certified Ethical Hacker... exploit session management bypassing security controls?,Execute a Cross-Site Request Forgery (CSRF) attack...,Utilize Session Fixation to manipulate a user into utilizing a session ID that an attacker already has access to.,Conduct Session Sidejacking...,Exploit insecure deserialization...,B
In a healthcare organization... sniffing medical imaging protocol CT scan?,Manipulating radiology report formats...,Exploiting MRI machine firmware vulnerabilities to intercept real-time patient scans.,Creating a covert channel within hospital administrative messages...,Injecting malicious code into ultrasound machine software...,B
As a security analyst... TCP SYN packets with no ACKs?,The attacker has used a SYN/ACK scan...,The attacker has used a TCP Connect scan...,The attacker has used an XMAS scan...,"The attacker has used a SYN scan, also known as half-open scanning, which involves sending SYN packets and waiting for SYN/ACK responses.",D
A leading cloud service provider... application-layer DoS attack API endpoints?,A distributed botnet attack targeting the cloud provider's API endpoints...,A zero-day exploit targeting virtualization hypervisors...,A coordinated SYN-ACK flood attack...,"A sophisticated application-layer DoS attack targeting specific cloud service APIs, exploiting vulnerabilities to exhaust server-side resources and disrupt application functionality.",D
A prominent healthcare organization... zero-day mobile OS exploits patient records?,Bluejacking...,Side-Channel Attack...,App Spoofing...,Zero-Day Exploits Leveraging Previously Unknown Vulnerabilities in Mobile Operating Systems or Applications...,D
A security analyst... WPA2-PSK 4-way handshake procedure?,"The analyst instigated a de-authentication attack, purposely causing a mass disconnection of all clients from the access point. The analyst then attentively observed the four-way handshake process that occurred during the clients' reconnection attempts.",The analyst conducted a rogue access point attack...,The analyst implemented a jamming attack...,The analyst initiated a man-in-the-middle attack...,A
You have recently joined as a cybersecurity analyst... Nessus CVSS 9.0 SSH RCE isolation?,Commence a manual inspection...,"Without delay, apply the patch...","Temporarily isolate the affected server from the broader network, perform an in-depth system audit, and then apply patches as required based on the findings.",Establish a backup SSH service...,C
A cybersecurity analyst... competitor surveillance automated alerts?,Use a VPN service...,Set up Google Alerts to receive email notifications whenever new web content includes their competitors' names or other key terms.,Engage in discussions on the competitors' blogs...,Hire a third-party service...,B
You are a new IT intern... definition of black box testing?,It refers to testing in which the ethical hacker has full knowledge...,It involves the ethical hacker trying to break into a system without any prior knowledge about the system.,It refers to testing where the ethical hacker only knows inputs and outputs.,It involves the ethical hacker testing using only public info.,B
A Certified Ethical Hacker (CEH)... prevent DNS server hijacking attack?,Implementing an open-source web server architecture...,Regularly updating and patching the server software,Changing the server's IP address regularly,Implementing DNSSEC on the DNS server,D
At XYZ Corporation... unpatched web server zero-day WAF response?,Initiate a regimented protocol of regular backups...,Proactively shut down the web server completely...,Swiftly apply a virtual patch to the affected web server using a web application firewall to temporarily safeguard against potential exploits.,Maintain the course of normal operations...,C
A prominent e-commerce platform... Slowloris low-bandwidth DoS attack?,A well-coordinated Distributed Reflective Denial-of-Service (DRDoS) attack...,"A stealthy Slowloris attack targeting the cloud service's web servers, exploiting their connection-handling limitations by maintaining numerous low-bandwidth connections.",A synchronized Ping of Death attack...,A Layer 7 HTTP flood attack...,B
